mean,std,max,min,energy_sum,spikes,fft_peak,label,run
1035586.2727661394,93775.41847181895,2424311,821409,2422236292,117,0,dsconv,5
1027284.1470962273,85817.33907638301,2231134,840452,2423363303,118,461,dsconv,6
1027503.5192226447,80192.62053172471,1760615,834471,2432100830,119,429,dsconv,7
1027135.1920783645,83298.89569320319,1883418,838621,2411713431,118,463,dsconv,8
1020163.2578024797,81639.95375589885,2398309,825682,2386161860,117,503,dsconv,9
1000255.8186628186,81209.41990895118,2798271,817564,2079531847,104,703,squeezetiny,0
994088.6641221374,75025.06260923625,2402154,825865,2083609840,104,319,squeezetiny,1
996357.9325681492,80578.59115320304,2417230,785886,2083384437,105,698,squeezetiny,2
1000414.7660594439,76886.25725832046,2035944,805784,2086865202,105,710,squeezetiny,3
997306.1918465227,83361.86641498361,2348200,801145,2079383410,104,708,squeezetiny,4
1000947.7712230216,82190.41338552443,2805474,827146,2086976103,105,0,squeezetiny,5
994284.4235745089,69851.85981218166,1775325,819761,2075071592,105,315,squeezetiny,6
1000996.0264296011,84125.9648435032,2666497,817381,2083072731,104,717,squeezetiny,7
1000129.1639423077,78644.1304583474,2268671,814512,2080268661,104,635,squeezetiny,8
1001006.3597295992,75843.12007526992,1925410,821348,2073084171,104,749,squeezetiny,9
1091110.4103378574,99429.54366393898,2564019,873350,3778515351,174,655,tinyresnet,0
1093095.7132947976,101345.62880982218,2975090,862669,3782111168,173,640,tinyresnet,1
1095188.4375722543,103719.8477466892,2671013,778990,3789351994,173,635,tinyresnet,2
1088617.9111689816,97814.53849313171,3054191,844114,3762263501,173,647,tinyresnet,3
1091131.9623995407,98362.77536063327,2180232,866270,3801503757,175,681,tinyresnet,4
1090532.5724595843,97827.07256675369,2731804,866147,3777604831,174,668,tinyresnet,5
1093805.172563805,98489.70685135869,2870415,865293,3771440235,173,634,tinyresnet,6
1089894.3084922011,95793.82748355916,2673883,866697,3773214096,174,654,tinyresnet,7
1094384.744815668,104749.88038389933,2867364,849424,3799703834,174,682,tinyresnet,8
1091611.0981860063,95785.39052222931,1944820,865354,3791165344,174,673,tinyresnet,9
1185719.5451308528,107027.45798410934,2696709,856810,6660186685,281,2803,tinygooglenet,0
1191431.2109388919,121469.00512269931,3403678,864255,6687503387,281,2803,tinygooglenet,1
1195070.3916755603,119517.71656355051,3249748,861204,6718685742,282,2809,tinygooglenet,2
-45440067.982031666,3496178537.4841423,3215873,-262142265011,-255418622127,281,2802,tinygooglenet,3
1189601.2059818408,123170.75879524744,2663323,860960,6681989974,281,2807,tinygooglenet,4
1189169.8435883718,114891.65998194154,3449271,844236,6667675313,281,2802,tinygooglenet,5
1192981.3876134544,123244.48731233599,3268913,889890,6703362417,281,2803,tinygooglenet,6
1198697.1758632965,127292.44152715911,2614678,856626,6734280734,280,2807,tinygooglenet,7
1207536.0204845031,138092.30789408291,3195305,862546,6779107219,281,2806,tinygooglenet,8
1190954.0133475708,116202.94753004429,3417716,866758,6691970601,281,2808,tinygooglenet,9
989706.6456442832,72150.00166036,1896296,804502,2181313447,111,0,lenet,0
989528.4261699228,74538.1790997276,1849361,780516,2177952066,110,664,lenet,1
989219.0754545454,69845.4431768181,1674678,807432,2176281966,110,24,lenet,2
987779.6068996822,76592.61198242503,2390313,803587,2176078474,111,3,lenet,3
988422.1533909877,77753.50267205338,2745720,814390,2171563471,109,7,lenet,4
983770.1499773448,81918.43829652308,2782525,804686,2171180721,111,575,lenet,5
992984.2170932358,80167.43539733835,2660638,817198,2172649467,110,37,lenet,6
982961.0073092736,73248.80687473276,2322504,823423,2151701645,110,618,lenet,7
988066.7606721163,74357.60321842163,2411676,808836,2175723007,111,332,lenet,8
984461.0710706151,73493.05807902089,1955500,796080,2160892051,110,332,lenet,9
